id,antiguedad,habitaciones,garages,banos,metroscubiertos,metrostotales,gimnasio,usosmultiples,piscina,escuelascercanas,centroscomercialescercanos,anio,ciudad,provincia,tipodepropiedad,titulo_features_enc,descripcion_features_enc
265328,0,3,2,1,120,96,0,0,0,0,0,2016,564,15,2,48,73
229144,20,4,1,3,170,120,0,0,0,0,0,2015,544,30,2,58,76
261302,4,2,1,1,95,95,0,0,0,1,1,2014,61,9,0,10,90
84117,4,3,2,3,200,200,0,0,1,1,1,2016,75,23,2,65,78
31189,8,3,2,2,338,325,0,0,0,0,0,2016,394,24,2,79,87
107254,10,2,1,1,106,106,0,0,0,0,0,2016,284,9,0,28,99
192798,1,2,1,2,173,404,0,0,0,0,0,2016,100,5,19,73,72
28083,0,4,1,4,187,270,0,0,1,1,0,2012,453,31,2,14,75
118789,30,3,2,2,296,199,0,0,0,1,1,2012,496,9,2,48,79
2152,10,4,1,4,366,300,0,0,0,1,1,2016,564,15,3,33,53
287026,0,2,2,1,110,120,0,0,0,0,0,2015,483,11,2,79,69
249169,30,3,2,2,130,90,0,0,0,0,0,2012,61,9,3,79,7
137539,8,4,3,4,320,210,0,0,0,0,0,2015,63,30,2,1,84
46291,15,2,1,1,55,60,0,0,0,1,1,2013,145,11,0,22,73
30233,3,2,2,2,128,176,1,0,1,1,0,2013,21,9,0,62,106
175145,20,3,1,1,90,90,0,0,0,0,0,2015,142,9,0,48,99
50676,30,2,1,1,75,176,0,0,0,1,1,2012,45,11,0,79,99
71570,2,2,0,2,195,176,0,0,0,0,0,2015,500,15,1,5,7
219843,40,2,1,2,137,291,0,0,0,0,0,2016,530,11,2,79,73
36279,8,5,1,2,258,420,0,0,0,0,0,2015,453,31,2,61,53
66052,10,3,1,2,84,122,0,0,0,1,0,2015,100,5,2,26,20
252609,20,5,1,3,173,123,0,0,0,0,0,2016,495,11,2,48,72
24783,0,4,1,4,304,403,0,0,0,0,0,2016,564,15,0,79,87
299327,8,3,2,2,335,200,0,0,0,0,0,2016,293,19,2,79,86
95349,20,3,1,3,295,176,1,0,0,1,0,2016,303,11,2,26,53
46332,2,3,2,1,106,102,0,0,0,0,0,2014,185,19,2,79,20
91240,10,3,2,3,180,176,0,0,0,0,0,2012,25,22,18,66,17
5445,6,3,1,3,150,129,0,0,0,0,0,2012,75,23,3,48,97
272876,5,3,3,3,120,150,0,0,0,0,1,2015,75,23,2,48,45
43811,8,3,0,3,173,152,0,0,0,0,0,2013,154,27,2,29,20
217082,8,3,3,2,218,90,0,0,0,1,1,2015,61,9,3,30,100
100370,10,4,0,4,370,422,0,0,0,1,1,2015,303,11,2,80,60
258874,5,2,0,1,90,67,0,0,0,0,1,2015,564,15,2,48,90
121949,20,3,1,1,90,80,1,0,0,1,1,2015,145,11,0,48,11
212950,1,3,1,1,70,61,1,0,0,1,0,2016,553,29,2,6,20
200057,11,3,1,4,380,250,0,0,0,1,0,2016,474,18,2,21,53
229177,20,3,2,1,120,176,0,0,0,0,0,2015,496,9,3,48,30
287838,10,3,2,1,70,100,0,0,0,1,1,2012,487,1,2,79,87
213118,0,3,0,2,200,350,0,0,1,1,0,2012,48,17,2,48,60
176475,18,3,2,2,100,80,0,0,0,0,0,2015,75,23,3,48,72
118176,0,4,1,4,400,176,0,0,0,1,1,2015,211,11,2,29,106
209024,0,2,1,2,93,176,0,0,0,0,0,2016,20,30,0,79,87
221906,8,3,2,3,215,185,0,0,0,0,0,2015,352,22,2,20,64
42493,4,3,2,2,118,176,0,0,0,0,0,2013,496,9,0,48,55
223728,1,3,3,2,140,160,0,0,0,0,0,2013,130,22,3,79,79
141993,0,2,2,2,240,240,1,0,0,1,1,2014,372,21,0,79,88
55675,1,3,1,2,184,160,0,0,0,0,0,2016,372,21,2,63,72
224087,8,2,0,2,403,183,0,0,0,0,0,2015,56,9,19,48,58
83655,8,1,1,1,100,176,0,0,1,1,1,2016,342,31,19,48,106
61917,2,2,0,2,60,60,0,0,0,0,1,2015,61,9,15,52,69
153665,0,2,1,2,136,136,0,0,0,0,0,2015,5,13,0,48,99
155758,5,3,1,4,173,380,1,0,0,1,1,2014,211,11,2,6,87
190393,20,3,3,3,282,438,0,0,0,1,0,2016,211,11,2,79,54
231050,5,3,2,1,125,100,0,0,0,1,0,2013,344,21,2,48,79
201122,1,2,1,2,120,120,0,0,0,0,0,2015,21,9,0,48,55
59267,0,2,0,1,47,176,0,0,0,0,0,2012,532,9,0,51,105
262487,30,4,1,4,430,176,0,0,0,0,0,2016,141,9,2,29,81
188582,3,3,2,3,220,152,0,0,0,0,0,2016,564,15,2,79,87
131814,8,2,0,1,41,176,0,0,0,0,0,2016,142,9,0,82,106
73949,10,3,1,2,300,405,0,0,0,1,1,2016,45,11,2,28,87
154308,20,3,3,3,173,390,0,0,0,1,1,2016,303,11,2,79,106
167194,0,2,2,1,90,125,0,0,0,0,0,2012,294,16,2,79,18
277393,1,3,1,3,300,270,0,0,0,1,1,2012,117,7,2,73,20
196835,0,2,1,1,210,200,0,0,0,0,0,2013,107,28,0,79,58
91690,8,3,2,2,215,255,0,0,0,0,0,2015,508,11,3,79,79
162086,8,3,3,3,194,144,0,0,0,0,0,2016,130,22,3,48,97
231058,20,3,1,2,122,176,0,0,0,0,0,2015,61,9,0,79,3
54120,8,3,2,3,387,210,0,0,0,0,0,2016,141,9,2,79,2
247858,20,2,3,2,300,300,0,0,0,1,1,2015,45,11,2,44,73
98092,8,3,1,2,135,137,0,0,0,0,0,2014,195,26,2,79,20
271915,10,3,3,3,135,135,0,0,0,1,1,2016,496,9,2,29,7
44677,4,3,1,1,70,70,0,0,0,0,0,2014,61,9,0,5,42
56078,8,3,2,2,129,102,0,0,0,0,0,2015,394,24,2,49,20
129375,8,2,2,2,132,144,0,0,0,1,0,2016,142,9,0,63,99
133361,35,3,2,3,311,310,0,0,0,0,0,2015,21,9,2,48,84
85866,8,3,2,2,117,117,0,0,0,0,0,2015,148,17,0,51,106
191559,15,2,1,1,100,105,0,0,0,0,0,2012,178,30,2,79,69
218728,20,2,1,1,96,96,0,0,0,1,1,2016,61,9,0,79,88
208771,50,3,1,2,200,270,0,0,0,0,0,2012,142,9,2,48,69
109195,20,2,1,1,60,60,0,0,0,0,0,2016,284,9,0,68,69
39549,8,2,0,2,400,176,0,0,0,0,0,2016,299,31,19,79,90
169828,10,2,2,2,105,105,0,0,0,1,1,2016,142,9,0,69,76
57416,0,2,0,2,173,220,0,0,0,0,0,2012,137,9,19,79,10
33193,0,4,3,4,340,250,0,0,0,1,1,2014,303,11,2,6,84
173865,8,4,1,4,300,176,0,0,0,0,0,2015,344,21,2,79,18
50919,8,4,1,4,260,176,0,0,1,1,1,2012,148,17,2,48,18
108504,0,3,2,2,197,176,0,0,0,1,1,2016,294,16,2,46,87
72963,10,3,1,2,160,160,0,0,0,1,1,2016,307,11,2,48,73
270712,20,3,1,2,120,154,0,0,0,1,1,2016,187,15,2,79,20
63504,8,4,2,2,215,209,0,0,0,0,0,2015,299,31,2,79,50
26896,21,2,1,2,182,176,0,0,1,0,1,2012,241,17,3,79,45
261152,5,6,1,2,157,160,0,0,0,1,1,2015,352,22,2,14,106
8838,10,2,1,1,51,51,0,0,0,1,1,2015,504,9,0,71,18
16064,1,4,1,2,173,415,0,0,0,0,0,2012,303,11,2,79,13
107661,5,3,2,1,340,176,0,0,0,0,0,2016,294,16,2,26,7
130161,5,3,2,2,230,250,0,0,0,0,0,2015,571,11,3,48,87
179573,5,2,1,2,84,109,0,0,0,0,0,2016,142,9,0,21,58
116121,0,2,0,2,173,200,0,0,0,0,0,2013,422,19,19,73,99
32234,12,2,1,1,60,60,0,0,0,0,0,2013,221,11,3,79,62
191736,2,2,1,2,100,118,0,0,0,0,1,2016,544,30,2,29,99
57456,8,2,1,1,100,176,0,0,0,0,0,2015,542,11,20,74,18
160502,8,3,2,2,165,120,0,0,0,0,0,2016,326,14,2,53,57
215795,20,4,1,2,220,250,0,0,0,0,0,2013,474,18,2,79,73
126714,2,3,2,3,230,176,0,0,1,1,1,2016,75,23,0,75,106
173047,10,2,1,1,65,90,1,0,0,1,0,2016,12,0,2,53,20
97726,5,2,3,2,172,165,0,0,0,1,1,2015,564,15,2,79,20
193811,0,3,2,2,130,130,0,0,0,1,1,2016,260,12,2,26,18
17156,3,3,2,2,149,184,0,0,0,1,0,2013,299,31,2,79,18
71055,10,2,0,1,70,176,0,0,0,0,0,2014,142,9,0,79,69
193990,8,2,0,2,258,176,0,0,0,0,0,2015,100,5,19,79,72
52059,5,1,1,1,56,56,0,0,0,1,1,2016,61,9,0,79,57
274757,8,3,1,2,307,180,0,0,0,0,0,2013,293,19,2,63,7
1558,0,3,3,4,173,371,1,1,1,1,1,2016,352,22,2,73,15
253081,0,2,1,1,51,176,0,0,0,0,0,2016,509,15,0,9,76
181909,10,3,3,2,250,200,0,0,0,1,1,2015,344,21,2,1,20
145269,5,2,1,1,125,219,0,0,0,0,0,2015,21,9,2,73,103
186660,0,3,2,3,286,229,0,0,0,1,1,2016,564,15,2,79,15
6479,8,2,0,2,173,75,0,0,0,0,0,2014,518,23,20,65,39
249414,0,3,1,1,75,176,0,0,0,1,1,2015,531,11,0,79,18
43182,30,1,0,1,42,176,0,0,0,0,0,2013,142,9,0,48,106
248529,3,4,2,2,300,176,0,0,1,0,0,2016,169,17,2,13,87
125724,5,2,2,2,110,110,1,0,0,1,1,2016,187,15,0,24,78
214268,0,3,1,2,160,128,1,0,0,1,0,2016,352,22,2,67,18
270767,10,3,1,2,78,80,0,0,0,1,1,2016,284,9,0,79,62
141103,10,5,2,3,232,274,0,0,0,0,0,2015,187,15,2,27,76
292203,10,3,0,4,250,350,1,1,0,1,1,2016,137,9,2,29,106
62008,3,2,2,1,110,176,0,0,0,1,0,2016,187,15,0,13,53
89122,0,2,0,2,173,203,0,0,0,0,0,2016,533,30,19,79,72
47736,8,4,3,4,390,390,0,0,0,0,0,2014,211,11,2,48,10
222505,0,3,1,4,231,176,1,1,0,0,0,2012,211,11,0,13,106
29628,10,2,2,1,105,172,0,0,0,0,0,2014,12,0,2,1,20
202216,8,2,1,2,61,176,0,0,0,0,0,2016,61,9,0,10,87
194828,10,2,1,1,63,176,0,0,1,0,1,2014,458,17,0,53,91
18649,0,4,2,3,90,135,0,0,0,0,0,2015,564,15,2,48,72
199020,14,3,1,4,124,176,0,0,0,0,0,2016,166,22,2,79,76
111554,25,2,1,1,78,90,0,0,0,0,0,2014,160,10,2,21,73
244687,5,3,2,3,234,176,1,1,1,1,1,2015,211,11,0,44,70
230919,8,4,1,3,300,256,0,0,0,0,0,2015,187,15,2,73,60
42397,8,2,1,2,236,176,0,0,0,0,0,2016,142,9,11,40,53
221946,40,4,1,4,360,150,0,0,0,1,0,2013,187,15,2,79,35
168390,10,3,1,2,120,122,0,0,0,1,1,2016,100,5,2,1,11
175576,10,3,2,3,197,207,0,0,0,1,0,2014,511,6,2,76,101
153541,0,3,1,1,77,176,0,0,0,0,0,2013,142,9,0,79,72
74055,8,3,2,3,223,125,0,0,0,0,0,2016,293,19,2,79,79
233828,1,3,2,3,219,176,1,1,0,1,1,2012,284,9,0,48,55
131312,5,3,1,1,64,106,0,0,0,1,1,2014,352,22,3,43,87
224154,0,2,2,4,338,176,0,0,0,0,0,2013,532,9,15,52,90
266743,8,2,0,1,110,75,0,0,0,0,0,2015,155,30,2,51,2
15594,8,2,1,2,173,204,0,0,0,0,0,2016,543,27,19,73,40
227419,0,2,3,2,101,78,0,0,0,1,1,2016,137,9,15,19,32
115531,0,2,2,2,106,176,0,0,1,0,0,2013,142,9,0,79,42
12282,1,2,1,1,56,90,0,0,0,0,1,2013,12,0,2,79,20
21847,0,3,2,2,136,128,0,0,0,0,0,2015,352,22,2,48,98
86772,1,2,1,1,72,120,0,0,0,0,0,2012,478,22,2,48,99
193139,0,3,2,2,206,240,0,0,0,0,0,2013,150,25,2,65,20
100472,5,3,1,2,105,176,0,0,0,0,0,2016,61,9,0,79,53
177774,1,3,2,3,350,260,0,0,0,0,0,2012,394,24,3,73,20
224462,20,3,3,2,188,176,0,0,0,1,1,2016,303,11,2,21,45
255020,0,3,3,2,175,240,0,0,0,1,0,2012,394,24,2,48,106
140852,1,3,2,3,270,280,0,0,1,0,0,2012,148,17,2,48,105
6484,32,4,2,4,210,123,0,0,0,1,0,2012,254,11,2,79,2
97191,0,3,2,3,280,170,1,1,1,1,1,2015,237,0,2,42,106
218796,5,4,3,4,173,350,0,0,0,1,1,2016,544,30,2,26,50
146934,5,2,1,1,90,90,0,0,0,1,1,2016,35,19,2,79,72
183990,8,2,1,2,173,349,0,0,0,0,0,2015,394,24,20,79,98
150347,10,3,3,3,300,120,0,0,0,0,0,2013,550,9,2,54,106
291295,2,2,2,2,180,180,1,0,1,1,1,2016,21,9,0,76,106
175531,1,3,2,3,151,128,0,0,0,0,0,2016,352,22,3,29,18
80284,40,3,2,2,194,160,0,0,0,1,1,2016,45,11,2,21,10
64297,4,3,2,2,164,176,0,0,0,1,1,2016,352,22,2,3,104
221587,8,2,0,2,100,176,0,0,1,0,0,2016,275,30,19,59,58
145984,10,2,2,1,360,300,0,0,0,1,1,2016,293,19,0,22,99
266813,8,2,1,1,73,80,0,0,0,0,0,2014,487,1,3,73,76
53725,8,3,1,4,133,231,0,0,0,0,0,2016,299,31,2,79,9
171137,14,2,1,1,65,176,0,0,1,1,1,2013,75,23,0,75,99
212764,10,3,1,1,67,67,0,0,0,1,1,2015,45,11,0,10,73
30683,9,3,1,2,155,143,0,0,0,0,0,2016,18,28,2,79,105
204086,4,3,2,2,95,176,0,0,0,0,0,2014,142,9,0,48,99
78594,20,3,2,3,340,372,0,0,0,1,1,2016,211,11,2,55,106
162787,5,3,1,2,227,149,0,0,0,0,0,2015,344,21,2,79,20
212279,5,3,2,1,176,88,0,0,0,1,1,2016,344,21,2,48,20
33141,8,2,1,1,57,72,0,0,0,0,0,2016,169,17,2,79,57
13870,40,4,2,3,234,200,0,0,0,0,1,2012,303,11,2,79,27
205831,3,4,1,4,300,288,0,0,0,1,1,2016,352,22,2,48,18
285806,10,3,1,2,173,300,0,1,1,1,1,2015,45,11,2,82,106
13820,10,2,0,2,107,183,0,0,0,1,1,2013,100,5,2,26,20
198918,6,2,1,1,105,95,1,0,0,1,0,2016,294,16,2,0,106
165989,1,3,1,2,354,176,0,0,0,1,0,2016,228,9,19,48,73
81377,0,3,1,2,137,127,1,0,1,1,0,2016,352,22,2,67,105
149867,5,3,0,1,80,220,0,0,0,0,0,2016,195,26,2,79,73
192119,5,2,1,1,65,65,0,0,0,0,0,2016,45,11,2,48,27
180210,20,2,1,1,68,176,0,0,0,0,0,2012,496,9,0,79,88
147051,5,4,1,2,300,176,0,0,1,1,1,2015,48,17,2,48,59
127638,22,4,2,4,300,350,0,0,0,1,1,2014,148,17,2,48,79
291867,0,3,0,2,261,213,0,0,0,1,1,2015,100,5,2,48,99
178582,0,3,1,4,274,225,0,0,0,0,0,2016,406,19,2,79,20
127544,8,2,3,2,106,176,0,0,0,0,0,2015,61,9,0,63,1
235717,8,3,2,2,135,135,1,0,0,1,1,2016,137,9,0,24,64
171723,6,2,2,1,77,160,0,0,0,1,1,2016,299,31,2,48,73
161574,5,2,1,1,69,133,0,0,0,0,0,2016,299,31,2,48,73
75409,15,3,2,2,180,160,0,0,0,1,0,2013,303,11,2,6,102
90035,1,1,1,1,110,189,1,0,0,1,0,2016,100,5,2,79,20
42840,15,3,1,1,114,119,0,0,0,0,0,2014,81,12,2,48,105
8581,10,2,3,2,170,176,1,1,1,1,1,2016,21,9,0,31,36
13664,8,4,1,4,355,370,0,0,0,0,0,2015,195,26,2,73,97
247464,10,3,1,1,80,176,0,0,0,1,1,2016,61,9,0,48,51
96424,3,4,2,3,172,105,0,0,0,0,1,2014,564,15,2,6,64
194898,0,3,2,3,313,170,0,0,0,0,0,2015,344,21,2,79,18
283532,1,3,2,3,198,179,0,0,0,0,0,2014,293,19,2,79,20
69531,5,3,3,2,212,176,0,0,0,1,1,2015,21,9,3,48,74
237884,5,3,1,2,180,176,0,0,0,1,0,2016,301,16,2,79,51
261893,5,3,2,3,120,102,0,0,1,1,1,2016,58,18,3,73,73
150376,1,3,1,1,95,120,0,0,0,1,1,2013,365,6,2,18,20
182443,10,4,2,2,189,260,0,0,0,1,1,2015,303,11,2,70,73
224406,0,3,1,2,360,390,0,0,0,1,0,2013,45,11,2,79,67
171332,0,2,0,2,173,380,0,0,0,0,0,2012,45,11,20,79,57
140442,8,1,1,1,40,176,0,0,0,0,0,2016,61,9,0,79,10
154939,20,3,2,2,86,86,0,0,0,1,1,2015,187,15,0,78,102
131259,5,3,3,2,350,350,0,0,0,0,0,2015,564,15,2,79,20
162293,12,2,2,1,72,72,0,0,0,0,0,2014,56,9,2,32,51
292709,0,4,2,2,150,250,0,0,1,1,1,2016,303,11,2,79,79
264845,10,2,3,2,300,300,0,0,0,1,1,2014,45,11,4,40,57
166131,0,3,1,3,183,176,1,1,1,1,1,2016,406,19,0,83,106
132328,10,2,1,2,95,95,0,0,0,0,0,2014,142,9,0,48,85
208063,5,3,1,2,230,250,0,0,0,0,0,2016,394,24,2,27,20
48322,5,4,3,4,425,176,0,0,1,1,1,2016,75,23,2,73,106
16624,0,2,1,1,50,80,0,0,1,1,1,2013,5,13,2,38,102
4734,8,2,1,2,24,176,0,0,0,0,0,2016,18,28,19,79,99
189590,0,3,3,2,166,323,1,0,0,1,1,2016,187,15,0,13,99
101739,40,2,1,1,60,60,0,0,0,0,0,2013,61,9,0,48,18
111000,8,2,2,2,81,81,0,0,0,1,1,2016,284,9,0,53,99
198444,10,3,1,1,95,140,0,0,0,0,0,2013,511,6,2,48,69
16638,5,4,2,2,205,220,0,0,0,0,0,2014,137,9,2,69,60
55638,0,4,3,2,173,425,0,1,0,1,1,2015,372,21,3,13,103
258788,12,2,1,3,120,176,0,0,1,1,0,2015,75,23,0,75,99
238820,8,3,2,2,108,108,0,0,0,0,0,2016,142,9,0,79,83
115603,5,2,1,1,66,66,0,0,0,0,0,2016,496,9,0,79,74
246939,8,2,0,2,324,324,0,0,0,0,0,2016,564,15,19,44,87
191530,1,3,2,1,105,120,0,0,0,1,1,2012,326,14,3,79,87
11213,10,2,0,2,350,170,0,0,0,0,0,2016,532,9,1,32,45
27388,20,3,1,3,247,228,0,0,0,0,0,2015,187,15,2,77,98
229061,5,5,2,4,260,176,0,0,0,1,1,2016,5,13,2,21,72
251977,8,2,1,1,100,200,0,0,0,0,0,2014,403,19,2,79,20
23366,25,2,0,2,96,176,0,0,0,0,0,2014,142,9,0,48,99
10057,10,3,2,3,290,176,1,0,0,0,0,2015,284,9,0,72,99
112593,20,3,0,2,370,176,0,0,0,1,1,2016,533,30,2,10,99
268565,5,3,1,2,110,90,0,0,0,1,1,2014,352,22,2,36,25
157455,8,4,2,3,438,176,0,0,0,0,0,2016,145,11,2,79,79
59187,5,3,1,2,75,176,0,0,0,1,1,2014,544,30,2,77,18
70372,0,5,1,4,380,360,0,1,1,1,1,2015,299,31,2,8,18
126007,1,3,2,2,75,75,0,0,0,1,1,2014,500,15,2,48,99
197380,1,3,2,2,125,180,0,0,0,1,1,2012,160,10,2,26,69
271738,4,2,2,3,131,176,1,1,1,1,1,2016,21,9,0,62,103
